boxes	20 12
les	11 87
effort	26 110
tom	137 178
jerry	200 47
cold	230 83
arrived	55 160
warm	81 31
humour	5 13
disappointed	28 9
phyllis	12 14
sends	17 19
secret	161 144
eight	148 256
fatal	6 12
plunge	3 4
mistakes	23 9
stops	31 42
reno	4 8
circus	31 21
clowns	11 3
merry	63 20
christmas	173 128
butcher	10 11
business	501 486
baloney	1 0
street	241 464
shopping	31 64
set	331 539
grove	8 45
acme	1 1
paint	53 31
company	212 817
camouflage	1 4
car	720 354
works	174 501
covered	58 170
hours	283 217
push	109 15
minnie	8 2
tree	109 103
diamond	30 48
ring	125 110
plans	72 162
sitting	122 30
imagine	124 11
light	217 385
bright	65 40
wishing	11 9
level	62 398
proud	128 15
trap	33 21
snappy	13 0
road	225 701
angus	19 8
cedars	2 2
garage	27 18
mac	15 52
truck	72 46
trace	18 30
unload	9 3
shots	43 36
decoy	9 12
smells	24 3
bother	98 2
strawberries	8 2
dessert	21 6
closet	28 2
grabbing	8 3
pails	1 0
delightful	16 2
performance	42 373
oaken	1 0
bucket	19 6
ironbound	1 0
mosscovered	1 0
hangs	12 5
strowberries	1 0
raspberries	1 0
perfectly	77 9
santa	43 113
claus	20 12
stocking	8 0
starving	21 5
sits	22 24
next	689 449
serious	238 92
jail	120 22
fooling	19 1
police	378 367
caught	123 76
liquor	16 7
attic	10 8
bedroom	56 14
disgrace	17 4
officer	97 235
shot	394 165
upstairs	138 3
arrested	88 108
bail	19 10
charge	130 155
sins	24 9
fainted	16 3
lawyer	82 68
shielding	2 5
understand	806 55
foolish	27 5
gamble	33 7
future	118 213
jobs	36 56
convicted	9 36
comitted	1 0
crime	100 89
listened	31 7
ye	11 15
sow	7 3
reap	4 1
bars	20 28
dice	15 2
juice	26 4
electricity	24 48
experiments	11 59
hi	794 12
noise	58 38
everytime	5 0
ask	746 45
manage	45 45
busy	145 21
realize	122 16
prettier	8 1
everyday	16 26
behaviour	24 32
waited	59 8
telephoned	2 0
pillow	23 1
cup	84 467
coffee	134 34
hollow	6 88
legs	102 38
encouraging	7 10
honey	536 26
hunch	11 1
apple	15 14
cupboard	17 0
case	347 340
questions	150 100
settled	26 99
seattle	18 75
fare	17 28
part	398 1352
looked	192 41
fellows	22 8
ducked	2 0
stores	13 99
gate	62 59
hollered	3 0
jailbird	1 0
millionaire	11 5
black	328 463
cloud	35 28
answer	266 37
event	49 299
pass	200 137
worried	134 13
gosh	48 3
page	53 88
ad	13 106
washing	14 9
method	5 151
contrast	4 64
stoop	7 0
costs	23 90
phone	375 57
roof	44 54
girlfriends	21 1
sunbath	1 0
allow	100 165
wanted	740 133
telephone	47 51
spied	2 1
snooping	6 1
cause	506 168
choose	70 37
between	272 1540
